mlb_id,last_name,first_name,positions,pa,ab,obp,slg,sb,cs,r,rbi,ops
543685,rendon,anthony,3B,5.1564924113649653,18.215472131351234,0.3236811568151382,0.38300263854518407,1.1211980760437867,0.19315819666869083,5.6602902465567126,6.8048863622729083,0.69337936302707603
430652,bourgeois,jason,OF,5.1212849138250078,20.743003721771586,0.27233323909790053,0.30992348943978515,5.6095873934716298,-0.95486045657696961,6.096929735553374,0.5786943130070874,0.58324377394553573
434633,baker,john,C,5.0509064884226973,17.247122816380198,0.30216715238858816,0.31982965260318857,1.4448768543768213,0.74356455970292856,-1.0068674157203628,-1.5923368243668374,0.61316564948004215
451088,sellers,justin,SS,4.3115124704061145,17.104912996555882,0.29451701366128696,0.3421209899928021,1.619908000202436,0.046798258203448906,3.7707313957009347,4.0738736408831606,0.63210355090355197
425565,quiroz,guillermo,C,4.3115124704061145,19.632444586976234,0.25967069775549861,0.33298581175062553,0.87184311396446201,0.19315819666869083,3.0048653420747318,4.5630519016663929,0.59588963048940402
407489,overbay,lyle,1B,4.2763049728661571,16.885725255270515,0.3097748884152457,0.3743316148899784,1.1211980760437867,0.40126767712841627,3.6061181133861648,6.0099716885001548,0.68064419780501628
458704,havens,reese,2B,4.2058899777862564,17.06417459339076,0.28960469296471908,0.32879355567661578,1.1211980760437867,0.19315819666869083,4.162033183583949,4.7667598930010904,0.6033630397928319
458628,mather,joe,OF,4.1354749827063557,19.01074629016243,0.26612638943679234,0.35102188383748595,2.118617924361085,-0.099561680261793017,3.2315538476429744,6.2646938906622651,0.61422761739301324
492841,martinez,michael,2B,4.1354749827063557,20.432592221910284,0.26691822966690915,0.32845111813718181,2.3679728864404099,-0.30767116072151846,4.071357781356653,2.4435120062556859,0.59101825657750273
446208,martinez,luis,C,4.1354749827063557,18.368678791766058,0.28112322861794148,0.31175175102568847,1.1211980760437867,0.19315819666869083,2.210399109474702,2.9529564105799029,0.59150772845047495
502034,burriss,emmanuel,2B,4.0650599876264408,18.868161879084482,0.28938113294122414,0.30479349819397578,4.8615225072336568,-0.6003910376520023,5.3024635029533442,0.8334165151691959,0.58699613436446196
453303,downs,matt,1B,3.6777775146869658,18.424912920390909,0.30074821807944374,0.38383355397596902,1.619908000202436,-0.30767116072151846,4.7012107316419112,6.6315775862496888,0.67635477145356693
518700,fryer,eric,C,3.1496650515876894,17.798341147454266,0.28546573880327641,0.32117864129318141,1.8692629622817605,0.19315819666869083,3.3054917277304483,3.2688258953399156,0.597796240252077
543228,gomes,yan,1B,3.0213769604847869,15.299920528307879,0.26058841809936717,0.36921086771256961,1.6402853534006403,0.65799033905930049,3.2390015291922474,1.5497389170681171,0.63361493804963476
325392,podsednik,scott,OF,3.0088350614278738,18.399670242685502,0.27015127998013722,0.32261721763937895,3.8641026589163578,0.023937403727174011,2.7377140006986593,0.46653281958177217,0.59740516118240539
467143,gomez,hector,SS,2.2694776130888812,20.096938044343574,0.23054529081889821,0.32224440035679613,2.118617924361085,-0.099561680261793017,1.3419949967871965,1.6996115433103451,0.55690567616078956
150456,kennedy,adam,3B,2.234270115548938,17.829332598373696,0.28997531162084822,0.34577326257566871,1.619908000202436,0.25490773866317434,2.2557368105883491,2.9529564105799029,0.63866745775141354
407832,valdez,wilson,2B/SS,2.234270115548938,18.833172249133384,0.2772930935379545,0.29319033261272937,1.8692629622817605,0.10854780019793242,1.0699687901053068,0.63984159560499165,0.5625965964122065
435560,quintanilla,omar,2B/SS,1.952610135229321,16.947708157109403,0.2809608541572054,0.33545391012848441,1.1211980760437867,0.046798258203448906,2.0457858271599303,3.2076786127420132,0.61377297850095491
500207,solano,jhonatan,C,1.8821951401494061,20.132802971385857,0.27888262827436405,0.35348616241853303,1.1211980760437867,0.19315819666869083,1.2059818934462516,4.3897431256431734,0.62478149765393776
430603,kelly,don,OF,1.8469876426094629,18.068889541241631,0.29383738499720519,0.34908505635394599,2.118617924361085,0.25490773866317434,3.2315538476429744,4.0228594300557496,0.63760837342175991
400268,boscan,jc,C,1.565327662289846,17.666378985713195,0.24696336136015734,0.28378561466127766,1.1211980760437867,0.19315819666869083,-0.35435039277998293,2.3414835846008621,0.52383898351379254
116662,jones,andruw,OF,1.5301201647498885,14.55788750164416,0.31298288897738913,0.40935831143236484,1.3705530381231112,0.46301721912289978,3.8328066189544074,8.8835451186266958,0.72078516188360542
430965,snyder,chris,C,1.3540826770501297,12.652054208037598,0.31429685976150867,0.35167681982394089,0.87184311396446201,0.40126767712841627,2.6923762995850105,6.5092830210538821,0.66005932342052043
435081,nickeas,mike,C,1.0724226967305128,15.898256627061741,0.28569305010730922,0.31680546474244492,0.87184311396446201,0.19315819666869083,0.53079124204734462,2.9529564105799029,0.59426765643679791
429713,sizemore,grady,OF,0.93159270657071147,14.99626298421488,0.29686775178047875,0.40318892673801515,1.8692629622817605,-0.037812138267309447,5.2738633239795192,5.8265298407064439,0.69712750718395378
444489,pina,manuel,C,0.93159270657071147,15.893383150938902,0.31447075688193865,0.33099052369460119,0.87184311396446201,0.40126767712841627,1.2059818934462516,4.1552870670220496,0.6290857744202174
518794,hicks,brandon,SS,0.89504648682266463,10.883105890724444,0.27003305799171617,0.34461761810414554,3.4061474411541171,0.20481033896738027,5.8686434102323908,0.84504291637750306,0.61234725416332914
446192,moore,adam,C,0.86117771149079658,18.701210087392312,0.27084822240524514,0.34766292470713872,1.1211980760437867,0.40126767712841627,0.99603091001783284,4.0941397844241454,0.61687822775580969
217915,ford,lew,OF,0.79076271641089591,17.498551896929825,0.28101805166303456,0.40647609100160981,1.8692629622817605,0.25490773866317434,3.9234820211817016,6.4481357384559779,0.69544925286420367
400290,kearns,austin,OF,0.75555521887093846,13.829469720794677,0.33150940942436852,0.32841988640832126,1.3705530381231112,0.046798258203448906,1.6712215614167398,3.2789589671104071,0.64748507036630831
502265,gillies,tyson,OF,0.75555521887093846,17.758478041380329,0.28913340671430665,0.33928193263278111,2.118617924361085,-0.30767116072151846,2.3464122128156468,1.2205663542976044,0.62698125247537151
346795,chavez,endy,OF,0.61472522871113711,17.758478041380329,0.27326025620715083,0.32803928082673944,2.3679728864404099,0.17029734219241596,0.87675532881671003,2.2803363020029579,0.5981903868262648
